domain_id,role,opponent,opponent_seen,meta_agent_choice,meta_agent_score,meta_agent_utility,meta_agent_nash,oracle_choice,oracle_score,oracle_utility,oracle_nash,avgbest_score,meta_agrees_oracle,score_AspirationNegotiator,utility_AspirationNegotiator,nash_AspirationNegotiator,score_BoulwareTBNegotiator,utility_BoulwareTBNegotiator,nash_BoulwareTBNegotiator,score_NaiveTitForTatNegotiator,utility_NaiveTitForTatNegotiator,nash_NaiveTitForTatNegotiator,score_TimeBasedConcedingNegotiator,utility_TimeBasedConcedingNegotiator,nash_TimeBasedConcedingNegotiator,score_BOA_Boulware,utility_BOA_Boulware,nash_BOA_Boulware
domain00,A,AspirationNegotiator,True,NaiveTitForTatNegotiator,0.32799999999999996,0.4,0.16000000000000003,BoulwareTBNegotiator,0.5447509246532104,0.5872007999,0.4457012157440349,0.455238816367209,False,0.4555859114095369,0.5294229227,0.2832995517317897,0.5447509246532104,0.5872007999,0.4457012157440349,0.32799999999999996,0.4,0.16000000000000003,0.5447509246532104,0.5872007999,0.4457012157440349,0.40310632112008693,0.46932379830000004,0.24859887436695646
domain00,A,BoulwareTBNegotiator,True,NaiveTitForTatNegotiator,0.32799999999999996,0.4,0.16000000000000003,BoulwareTBNegotiator,0.5447509246532104,0.5872007999,0.4457012157440349,0.4104734427285157,False,0.5049407281074787,0.5799918415,0.32982146352492897,0.5447509246532104,0.5872007999,0.4457012157440349,0.32799999999999996,0.4,0.16000000000000003,0.5447509246532104,0.5872007999,0.4457012157440349,0.1299246362286792,0.1512342996,0.08020208836226402
domain00,A,NaiveTitForTatNegotiator,True,NaiveTitForTatNegotiator,0.32799999999999996,0.4,0.16000000000000003,BoulwareTBNegotiator,0.5447509246532104,0.5872007999,0.4457012157440349,0.39456574938128414,False,0.32799999999999996,0.4,0.16000000000000003,0.5447509246532104,0.5872007999,0.4457012157440349,0.32799999999999996,0.4,0.16000000000000003,0.5447509246532104,0.5872007999,0.4457012157440349,0.22732689760000002,0.2273268976,0.2273268976
domain00,A,TimeBasedConcedingNegotiator,True,NaiveTitForTatNegotiator,0.32799999999999996,0.4,0.16000000000000003,BoulwareTBNegotiator,0.5447509246532104,0.5872007999,0.4457012157440349,0.4104734427285157,False,0.5049407281074787,0.5799918415,0.32982146352492897,0.5447509246532104,0.5872007999,0.4457012157440349,0.32799999999999996,0.4,0.16000000000000003,0.5447509246532104,0.5872007999,0.4457012157440349,0.1299246362286792,0.1512342996,0.08020208836226402
domain00,A,BOA_Boulware,True,NaiveTitForTatNegotiator,0.7053970042511628,0.912100694,0.2230883948372094,NaiveTitForTatNegotiator,0.7053970042511628,0.912100694,0.2230883948372094,0.4429618360225347,True,0.38224273591426977,0.5092968526,0.0857831303142326,0.3667222887607546,0.5101888140999999,0.0319670629691821,0.7053970042511628,0.912100694,0.2230883948372094,0.3667222887607546,0.5101888140999999,0.0319670629691821,0.39372486242573185,0.4537721134,0.2536146101524394
domain00,A,LinearTBNegotiator,True,NaiveTitForTatNegotiator,0.45399828511971685,0.5338896931,0.26758499983238965,BoulwareTBNegotiator,0.5447509246532104,0.5872007999,0.4457012157440349,0.5038985034714093,False,0.4555859114095369,0.5294229227,0.2832995517317897,0.5447509246532104,0.5872007999,0.4457012157440349,0.45399828511971685,0.5338896931,0.26758499983238965,0.5447509246532104,0.5872007999,0.4457012157440349,0.5204064715213721,0.6031404215,0.32736058823790704
domain00,A,ConcederTBNegotiator,True,AspirationNegotiator,0.7254671956763605,0.8680536708,0.39276542038786877,NaiveTitForTatNegotiator,0.7382971503304887,0.870240694,0.43042888176829586,0.727962710102082,False,0.7254671956763605,0.8680536708,0.39276542038786877,0.7254671956763605,0.8680536708,0.39276542038786877,0.7382971503304887,0.870240694,0.43042888176829586,0.7254671956763605,0.8680536708,0.39276542038786877,0.72511481315084,0.8552768228,0.4214034573028002
domain00,A,BOA_Hardliner,True,NaiveTitForTatNegotiator,0.7618421879799999,1.0,0.2061406266,NaiveTitForTatNegotiator,0.7618421879799999,1.0,0.2061406266,0.40418048514467486,True,0.3140522147283278,0.4224908774,0.06102866849442586,0.3208972311342506,0.4234085554,0.08170414118083529,0.7618421879799999,1.0,0.2061406266,0.3208972311342506,0.4234085554,0.08170414118083529,0.3032135607465455,0.31993071520000005,0.26420686702181817
domain00,A,BOA_Conceder,True,NaiveTitForTatNegotiator,0.6719899719416439,0.78535,0.40748323980547996,AspirationNegotiator,0.6719899719416439,0.78535,0.40748323980547996,0.6396500746619094,False,0.6719899719416439,0.78535,0.40748323980547996,0.6719899719416439,0.78535,0.40748323980547996,0.6719899719416439,0.78535,0.40748323980547996,0.6719899719416439,0.78535,0.40748323980547996,0.5102904855429711,0.6438407773,0.19867313810990359
domain00,A,BOA_Moderate,True,NaiveTitForTatNegotiator,0.7543843257828214,0.9377118944,0.32661999900940486,NaiveTitForTatNegotiator,0.7543843257828214,0.9377118944,0.32661999900940486,0.5445589568701148,True,0.45822263154191584,0.6036980597,0.11877996583971942,0.4999486707414328,0.6047204218,0.255481251604776,0.7543843257828214,0.9377118944,0.32661999900940486,0.4999486707414328,0.6047204218,0.255481251604776,0.5102904855429711,0.6438407773,0.19867313810990359
