domain_id,role,opponent,opponent_seen,agent,utility,opp_utility,nash,score,agreement
domain00,A,BOA_Moderate,True,TimeBasedConcedingNegotiator,0.6047204218,0.4224782931,0.255481251604776,0.4999486707414328,True
domain00,A,BOA_Moderate,True,BOA_Boulware,0.6438407773,0.3085749538,0.19867313810990359,0.5102904855429711,True
domain00,A,MiCRONegotiator,False,AspirationNegotiator,0.49390646309999997,0.8369967443999999,0.41339810165281865,0.4697539546658456,True
domain00,A,MiCRONegotiator,False,BoulwareTBNegotiator,0.49390646309999997,0.8369967443999999,0.41339810165281865,0.4697539546658456,True
domain00,A,MiCRONegotiator,False,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,MiCRONegotiator,False,TimeBasedConcedingNegotiator,0.49390646309999997,0.8369967443999999,0.41339810165281865,0.4697539546658456,True
domain00,A,MiCRONegotiator,False,BOA_Boulware,0.2350400212,0.8500718531,0.1998009063741473,0.22446828675224417,True
domain00,A,NiceNegotiator,False,AspirationNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,NiceNegotiator,False,BoulwareTBNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,NiceNegotiator,False,NaiveTitForTatNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,NiceNegotiator,False,TimeBasedConcedingNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,NiceNegotiator,False,BOA_Boulware,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,RandomNegotiator,False,AspirationNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,RandomNegotiator,False,BoulwareTBNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,RandomNegotiator,False,NaiveTitForTatNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,RandomNegotiator,False,TimeBasedConcedingNegotiator,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,RandomNegotiator,False,BOA_Boulware,1.0,0.2061406266,0.2061406266,0.7618421879799999,True
domain00,A,ToughNegotiator,False,AspirationNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,ToughNegotiator,False,BoulwareTBNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,ToughNegotiator,False,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,ToughNegotiator,False,TimeBasedConcedingNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,ToughNegotiator,False,BOA_Boulware,0.2273268976,1.0,0.2273268976,0.22732689760000002,True
