num_issues,total_values,avg_values_per_issue,max_values_per_issue,min_values_per_issue,log_outcome_space_size,reserved_value,max_weight,min_weight,weight_std,weight_entropy,avg_value_std,weight_concentration,first_offer_utility,e,opponent_type,agent_utility,opponent_utility,nash_product,score,agreement_reached,rounds,domain_id,role
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.05,AspirationNegotiator,0.46932379830000004,0.529695863,0.24859887436695646,0.40310632112008693,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.1,AspirationNegotiator,0.46932379830000004,0.529695863,0.24859887436695646,0.40310632112008693,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.2,AspirationNegotiator,0.46932379830000004,0.529695863,0.24859887436695646,0.40310632112008693,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.3,AspirationNegotiator,0.46932379830000004,0.529695863,0.24859887436695646,0.40310632112008693,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.5,AspirationNegotiator,0.46932379830000004,0.529695863,0.24859887436695646,0.40310632112008693,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.7,AspirationNegotiator,0.4503305742,0.5466774872,0.24618558671298915,0.38908707795389674,True,95,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,1.0,AspirationNegotiator,0.4951597403,0.7475363352,0.3701498976024457,0.4576567874907337,True,85,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,1.5,AspirationNegotiator,0.46932379830000004,0.529695863,0.24859887436695646,0.40310632112008693,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,2.0,AspirationNegotiator,0.43368715710000005,0.6753869807,0.29290665960213563,0.39145300785064074,True,90,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.05,BoulwareTBNegotiator,0.1512342996,0.5303167904,0.08020208836226402,0.1299246362286792,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.1,BoulwareTBNegotiator,0.1512342996,0.5303167904,0.08020208836226402,0.1299246362286792,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.2,BoulwareTBNegotiator,0.1512342996,0.5303167904,0.08020208836226402,0.1299246362286792,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.3,BoulwareTBNegotiator,0.1512342996,0.5303167904,0.08020208836226402,0.1299246362286792,True,96,domain00,A
5,37,7.4,15,2,12.661778097771986,0.4,0.70691,0.04186,0.2542963564819598,0.6190264434054463,0.3803789954048339,0.5233331846000001,0.2273268976,0.5,BoulwareTBNegotiator,0.1512342996,0.5303167904,0.08020208836226402,0.1299246362286792,True,96,domain00,A
