domain_id,role,opponent,opponent_seen,score,utility,opp_utility,nash,agreement,rounds,predicted_e
domain00,A,AspirationNegotiator,True,0.47765474272873226,0.5205307999000001,0.7254337484000001,0.37761060932910745,True,84,2.0
domain00,A,BoulwareTBNegotiator,True,0.48070876999509937,0.5309496838,0.6845845891,0.36347997111699787,True,87,2.0
domain00,A,NaiveTitForTatNegotiator,True,0.48485922790402575,0.5248255863,0.746161014,0.3916043916467525,True,77,3.0
domain00,A,TimeBasedConcedingNegotiator,True,0.48070876999509937,0.5309496838,0.6845845891,0.36347997111699787,True,87,2.0
domain00,A,BOA_Boulware,True,0.4016622228366601,0.4305938455,0.7760331616,0.33415510328886694,True,84,3.0
domain00,A,LinearTBNegotiator,True,0.5178011330717925,0.6115440643,0.489036922,0.29906762687264205,True,87,0.6034058332443237
domain00,A,ConcederTBNegotiator,True,0.7524470962963237,0.8886038088,0.4892485224,0.4347481004544121,True,54,0.3977333903312683
domain00,A,BOA_Hardliner,True,0.3822158608138587,0.4154664631,0.7332267444,0.30463112214619575,True,98,3.0
domain00,A,BOA_Conceder,True,0.6719899719416439,0.78535,0.5188555927999999,0.40748323980547996,True,82,0.6034058332443237
domain00,A,BOA_Moderate,True,0.4609729475297763,0.5282439235,0.5755056015000001,0.3040073369325875,True,86,1.2068116664886475
domain00,A,MiCRONegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.6034058332443237
domain00,A,NiceNegotiator,False,0.7618421879799999,1.0,0.2061406266,0.2061406266,True,1,0.5
domain00,A,RandomNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,6,0.5447806715965271
domain00,A,ToughNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain00,A,SimpleTitForTatNegotiator,False,0.48485922790402575,0.5248255863,0.746161014,0.3916043916467525,True,77,3.0
domain00,A,TopFractionNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.206968200802803
domain00,A,FirstOfferOrientedTBNegotiator,False,0.48070876999509937,0.5309496838,0.6845845891,0.36347997111699787,True,87,2.0
domain00,B,AspirationNegotiator,True,0.3814042280893957,0.41743684270000003,0.712270928,0.2973281273313191,True,85,1.164698213338852
domain00,B,BoulwareTBNegotiator,True,0.37237918065143283,0.4224782931,0.6047204218,0.255481251604776,True,92,1.164698213338852
domain00,B,NaiveTitForTatNegotiator,True,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain00,B,TimeBasedConcedingNegotiator,True,0.37237918065143283,0.4224782931,0.6047204218,0.255481251604776,True,92,1.164698213338852
domain00,B,BOA_Boulware,True,0.47131804860084003,0.4927100163,0.8552768228,0.4214034573028002,True,77,2.0
domain00,B,LinearTBNegotiator,True,0.5178336531022585,0.6154720311999999,0.4712005683,0.2900107708741953,True,90,0.3882327377796173
domain00,B,ConcederTBNegotiator,True,0.6360519109196311,0.7646635708,0.4393540515,0.3359580378654371,True,78,0.38974183797836304
domain00,B,BOA_Hardliner,True,0.717155819080108,0.8752165733999999,0.3980127924,0.3483473923336935,True,100,3.0
