domain_id,agent_a,agent_b,utility_a,utility_b,nash,agreement,hybrid_e_a,hybrid_e_b
domain00,BoulwareTBNegotiator,NiceNegotiator,1.0,0.2273268976,0.2273268976,True,,
domain00,NaiveTitForTatNegotiator,HybridAgent,0.746161014,0.5248255863,0.3916043916467525,True,,2.0
domain00,NaiveTitForTatNegotiator,AspirationNegotiator,0.4,0.4,0.16000000000000003,False,,
domain00,NaiveTitForTatNegotiator,BoulwareTBNegotiator,0.759026922,0.5872007999,0.4457012157440349,True,,
domain00,NaiveTitForTatNegotiator,TimeBasedConcedingNegotiator,0.759026922,0.5872007999,0.4457012157440349,True,,
domain00,NaiveTitForTatNegotiator,MiCRONegotiator,0.4,0.4,0.16000000000000003,False,,
domain00,NaiveTitForTatNegotiator,NiceNegotiator,1.0,0.2273268976,0.2273268976,True,,
domain00,TimeBasedConcedingNegotiator,HybridAgent,0.6845845891,0.5309496838,0.36347997111699787,True,,1.5
domain00,TimeBasedConcedingNegotiator,AspirationNegotiator,0.5686656948,0.5799918415,0.32982146352492897,True,,
domain00,TimeBasedConcedingNegotiator,BoulwareTBNegotiator,0.759026922,0.5872007999,0.4457012157440349,True,,
domain00,TimeBasedConcedingNegotiator,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,False,,
domain00,TimeBasedConcedingNegotiator,MiCRONegotiator,0.4,0.4,0.16000000000000003,False,,
domain00,TimeBasedConcedingNegotiator,NiceNegotiator,1.0,0.2273268976,0.2273268976,True,,
domain00,MiCRONegotiator,HybridAgent,0.9472565835,0.37678348640000003,0.3569106380464827,True,,0.6034058332443237
domain00,MiCRONegotiator,AspirationNegotiator,0.8369967443999999,0.49390646309999997,0.41339810165281865,True,,
domain00,MiCRONegotiator,BoulwareTBNegotiator,0.8369967443999999,0.49390646309999997,0.41339810165281865,True,,
domain00,MiCRONegotiator,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,False,,
domain00,MiCRONegotiator,TimeBasedConcedingNegotiator,0.8369967443999999,0.49390646309999997,0.41339810165281865,True,,
domain00,MiCRONegotiator,NiceNegotiator,1.0,0.2273268976,0.2273268976,True,,
domain00,NiceNegotiator,HybridAgent,0.2061406266,1.0,0.2061406266,True,,0.5856029391288757
domain00,NiceNegotiator,AspirationNegotiator,0.2061406266,1.0,0.2061406266,True,,
domain00,NiceNegotiator,BoulwareTBNegotiator,0.2061406266,1.0,0.2061406266,True,,
domain00,NiceNegotiator,NaiveTitForTatNegotiator,0.2061406266,1.0,0.2061406266,True,,
domain00,NiceNegotiator,TimeBasedConcedingNegotiator,0.2061406266,1.0,0.2061406266,True,,
domain00,NiceNegotiator,MiCRONegotiator,0.2061406266,1.0,0.2061406266,True,,
domain01,HybridAgent,AspirationNegotiator,0.5811918965,0.7856185055999999,0.45659510919515983,True,0.9754391312599182,
domain01,HybridAgent,BoulwareTBNegotiator,0.5536881602,0.81903246,0.45348857592148006,True,0.9754391312599182,
domain01,HybridAgent,NaiveTitForTatNegotiator,0.4066102402,0.9999999999999999,0.4066102401999999,True,1.3005855083465576,
domain01,HybridAgent,TimeBasedConcedingNegotiator,0.5536881602,0.81903246,0.45348857592148006,True,0.9754391312599182,
domain01,HybridAgent,MiCRONegotiator,0.43411397649999994,0.9665860455999999,0.41960851188482623,True,0.3251463770866394,
domain01,HybridAgent,NiceNegotiator,1.0,0.28569367149999997,0.28569367149999997,True,0.5,
domain01,AspirationNegotiator,HybridAgent,0.8529987052,0.6859820852999999,0.5851418305512959,True,,0.6143452525138855
domain01,AspirationNegotiator,BoulwareTBNegotiator,0.6374996652,0.7657907477,0.4881913452720077,True,,
domain01,AspirationNegotiator,NaiveTitForTatNegotiator,0.7120332987999999,0.7101389076,0.5056425489846563,True,,
domain01,AspirationNegotiator,TimeBasedConcedingNegotiator,0.6374996652,0.7657907477,0.4881913452720077,True,,
domain01,AspirationNegotiator,MiCRONegotiator,0.6562302402,0.8800794889,0.5775347743959403,True,,
domain01,AspirationNegotiator,NiceNegotiator,1.0,0.28569367149999997,0.28569367149999997,True,,
domain01,BoulwareTBNegotiator,HybridAgent,0.7395370351,0.6767249532,0.5004631654677143,True,,0.6143452525138855
domain01,BoulwareTBNegotiator,AspirationNegotiator,0.7318310816999999,0.6690628071999999,0.4896409579184144,True,,
domain01,BoulwareTBNegotiator,NaiveTitForTatNegotiator,0.9437391852,0.7119328584999999,0.6718789357978968,True,,
domain01,BoulwareTBNegotiator,TimeBasedConcedingNegotiator,0.7245617266,0.6217195128,0.4504741636552788,True,,
domain01,BoulwareTBNegotiator,MiCRONegotiator,0.6562302402,0.8800794889,0.5775347743959403,True,,
domain01,BoulwareTBNegotiator,NiceNegotiator,1.0,0.28569367149999997,0.28569367149999997,True,,
domain01,NaiveTitForTatNegotiator,HybridAgent,0.9437391852,0.7119328584999999,0.6718789357978968,True,,0.30717262625694275
domain01,NaiveTitForTatNegotiator,AspirationNegotiator,0.7318310816999999,0.6690628071999999,0.4896409579184144,True,,
domain01,NaiveTitForTatNegotiator,BoulwareTBNegotiator,0.7216229215,0.7984394152,0.5761721834373754,True,,
domain01,NaiveTitForTatNegotiator,TimeBasedConcedingNegotiator,0.7216229215,0.7984394152,0.5761721834373754,True,,
domain01,NaiveTitForTatNegotiator,MiCRONegotiator,0.4,0.4,0.16000000000000003,False,,
domain01,NaiveTitForTatNegotiator,NiceNegotiator,1.0,0.28569367149999997,0.28569367149999997,True,,
domain01,TimeBasedConcedingNegotiator,HybridAgent,0.7395370351,0.6767249532,0.5004631654677143,True,,0.6143452525138855
domain01,TimeBasedConcedingNegotiator,AspirationNegotiator,0.7318310816999999,0.6690628071999999,0.4896409579184144,True,,
domain01,TimeBasedConcedingNegotiator,BoulwareTBNegotiator,0.7245617266,0.6217195128,0.4504741636552788,True,,
domain01,TimeBasedConcedingNegotiator,NaiveTitForTatNegotiator,0.9437391852,0.7119328584999999,0.6718789357978968,True,,
domain01,TimeBasedConcedingNegotiator,MiCRONegotiator,0.6562302402,0.8800794889,0.5775347743959403,True,,
domain01,TimeBasedConcedingNegotiator,NiceNegotiator,1.0,0.28569367149999997,0.28569367149999997,True,,
domain01,MiCRONegotiator,HybridAgent,0.9967008414999999,0.6149477899,0.6129189796718951,True,,0.30717262625694275
domain01,MiCRONegotiator,AspirationNegotiator,0.8871196652,0.6458702365999999,0.5729641880552366,True,,
domain01,MiCRONegotiator,BoulwareTBNegotiator,0.8871196652,0.6458702365999999,0.5729641880552366,True,,
domain01,MiCRONegotiator,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,False,,
domain01,MiCRONegotiator,TimeBasedConcedingNegotiator,0.8871196652,0.6458702365999999,0.5729641880552366,True,,
domain01,MiCRONegotiator,NiceNegotiator,1.0,0.28569367149999997,0.28569367149999997,True,,
domain01,NiceNegotiator,HybridAgent,0.4066102402,0.9999999999999999,0.4066102401999999,True,,0.312630295753479
domain01,NiceNegotiator,AspirationNegotiator,0.4066102402,0.9999999999999999,0.4066102401999999,True,,
domain01,NiceNegotiator,BoulwareTBNegotiator,0.4066102402,0.9999999999999999,0.4066102401999999,True,,
domain01,NiceNegotiator,NaiveTitForTatNegotiator,0.4066102402,0.9999999999999999,0.4066102401999999,True,,
domain01,NiceNegotiator,TimeBasedConcedingNegotiator,0.4066102402,0.9999999999999999,0.4066102401999999,True,,
domain01,NiceNegotiator,MiCRONegotiator,0.4066102402,0.9999999999999999,0.4066102401999999,True,,
domain01,HybridAgent,AspirationNegotiator,0.6859820852999999,0.8529987052,0.5851418305512959,True,0.9215178787708282,
domain01,HybridAgent,BoulwareTBNegotiator,0.6115013108999999,0.8458017607,0.5172088854295781,True,0.9215178787708282,
